33|Compras (VES)
34|Ventas (VES)
35|Ventas (USD)
4|Compras (USD)
47|Distribuidor Relacionado (USD) PRUEBA VENTA GUACA
48|Distribuidor Relacionado (USD) CONFIPLAST
49|Distribuidor Relacionado (USD) COMERCIAL 388
50|Distribuidor Relacionado (USD) COMERCIAL GRAN VICTORIA 2009
52|Distribuidor Relacionado (USD) DISTRIBUIDORA ORION 2020
53|Distribuidor Relacionado (USD) MERCANTIL LARA CENTER 
55|Distribuidor Relacionado (USD) DISTIBUIDORA VIVERES A-1
45|Distribuidor Relacionado (USD)
104|Distribuidor Relacionado (USD) LA POLLERA
105|Distribuidor Relacionado (USD) SUMINISTRO, MERCADEO Y DISTRI
107|Distribuidor Relacionado (USD) COMERCIALIZADORA VENSUPLY, C.
